market-census	ts/src/bingx.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchFundingRate	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchFundingRateHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchOpenInterest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchMarkPrice	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchPositionHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchPosition	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	createOrderRequest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	createOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	cancelOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	transfer	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchDepositAddressesByNetwork	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	setMarginMode	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	setMargin	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchLeverage	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	setLeverage	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchMyTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	closePosition	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	editOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchMarginMode	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchTradingFee	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchMarketLeverageTiers	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	parseBalance	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	fetchOpenOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	fetchOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bit2c.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchTradingFees	market	safeMarket	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	cancelOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchOpenOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbank.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
